RegionName,Year,HomeownershipRate,RentalRate,HomeValue_MillionUSD,HomeownerAffordability,RenterAffordability,Income_Tier,Less_than_High_School_Rate,Bachelors_or_Higher_Rate,ElderlyRate,SalesTotal_Million,CPI,MortgageRate,National_Unemployment,NonSingleHouseholdRate,Nominal_GDP_TrillionUSD
"Abilene, TX",2018,0.6253839777658589,0.3746160222341411,0.13553492495731462,0.2056724423859207,0.2063196452991539,Lower-Middle Income,7.0,24.7,0.1474316977575485,32.5411224,251.0995,4.544615384615385,3.891666666666666,0.6651226290896679,20.6565
"Akron, OH",2018,0.6794637755884115,0.3205362244115884,0.13961088589982662,0.187661227099031,0.1662581760435296,Upper-Middle Income,14.1,33.2,0.1768502294830778,141.6359874,251.0995,4.544615384615385,3.891666666666666,0.605938462396009,20.6565
"Albany, GA",2018,0.5290871015830199,0.4709128984169802,0.09369946053541173,0.1691766250321991,0.1708520854179666,Low Income,5.5,18.3,0.1534884028632292,18.328097,251.0995,4.544615384615385,3.891666666666666,0.6453467736210691,20.6565
"Albuquerque, NM",2018,0.6447964116454157,0.3552035883545843,0.1940422814204601,0.2477930046551007,0.2221439025059284,Lower-Middle Income,7.6,32.8,0.1675332763956016,259.1480578,251.0995,4.544615384615385,3.891666666666666,0.6092364425525743,20.6565
"Amarillo, TX",2018,0.6393755455855783,0.3606244544144217,0.1390076617454158,0.2175212444097439,0.2148327106131816,Upper-Middle Income,5.8,26.3,0.1364493434095008,62.022135799999994,251.0995,4.544615384615385,3.891666666666666,0.661909498771798,20.6565
"Ames, IA",2018,0.5519978546527219,0.4480021453472781,0.18087094194466152,0.2206620666570873,0.1759274672181253,Lower-Middle Income,12.5,50.7,0.1178533204219968,29.749557199999998,251.0995,4.544615384615385,3.891666666666666,0.5183427192276749,20.6565
"Anchorage, AK",2018,0.6747088730970374,0.3252911269029625,0.29774758849948485,0.2617292547762403,0.1900167699244428,High Income,4.5,33.7,0.1148947257658813,,251.0995,4.544615384615385,3.891666666666666,0.6714575620258505,20.6565
"Ann Arbor, MI",2018,0.6097139901588011,0.3902860098411988,0.2870466652278756,0.2802447816289644,0.297855258176785,High Income,18.4,56.4,0.1395691753625024,128.5733246,251.0995,4.544615384615385,3.891666666666666,0.5773177141579066,20.6565
"Asheville, NC",2018,0.682243380287562,0.3177566197124379,0.26326850561040227,0.30461927903731,0.2627503584119994,Upper-Middle Income,11.1,36.2,0.2233863159154454,209.01274859999998,251.0995,4.544615384615385,3.891666666666666,0.5998415750772582,20.6565
"Bakersfield, CA",2018,0.5741982011004257,0.4258017988995742,0.2186177645365772,0.2883135013061688,0.2584376527178637,Low Income,2.1,16.2,0.1093665669005446,219.36290440000002,251.0995,4.544615384615385,3.891666666666666,0.7390863464474113,20.6565
"Bangor, ME",2018,0.6584797215251356,0.3415202784748644,0.1508860507035779,0.2385210262405613,0.2224403049127581,Lower-Middle Income,12.4,28.0,0.1837308730873087,21.1105348,251.0995,4.544615384615385,3.891666666666666,0.5956124018457055,20.6565
"Baton Rouge, LA",2018,0.6877373478071964,0.3122626521928035,0.18539386206016284,0.2312405569979343,0.2226903870328962,Upper-Middle Income,9.8,28.6,0.1421599643935475,196.46920319999998,251.0995,4.544615384615385,3.891666666666666,0.6521530037245986,20.6565
"Bellingham, WA",2018,0.6135737253100597,0.3864262746899403,0.3788768958749945,0.3821392941021072,0.2435754006516751,Upper-Middle Income,8.2,33.9,0.1743447725812526,130.870876,251.0995,4.544615384615385,3.891666666666666,0.6058107487367937,20.6565
"Billings, MT",2018,0.6772117514313176,0.3227882485686824,0.24692693377152466,0.2839277811022919,0.1859655983393184,High Income,12.3,32.9,0.1756140412114442,21.7654,251.0995,4.544615384615385,3.891666666666666,0.6041065931157452,20.6565
"Binghamton, NY",2018,0.6633695425109672,0.3366304574890328,0.11213909884667612,0.1591460872344104,0.1661706333549125,Low Income,15.5,28.1,0.1941020485473672,27.6728096,251.0995,4.544615384615385,3.891666666666666,0.6126592855650721,20.6565
"Bismarck, ND",2018,0.690681423149232,0.3093185768507679,0.255178987898563,0.2436226768171964,0.1650209993005271,High Income,13.4,31.8,0.1598509639728833,40.2087778,251.0995,4.544615384615385,3.891666666666666,0.636940867652797,20.6565
"Bloomington, IL",2018,0.6613753737428649,0.3386246262571351,0.1637820238711723,0.2141859955730757,0.1543544888351891,Upper-Middle Income,6.0,43.0,0.1339557008444919,48.272806200000005,251.0995,4.544615384615385,3.891666666666666,0.6103968469692851,20.6565
"Bloomington, IN",2018,0.5740495035915267,0.4259504964084732,0.1830246598384393,0.2399171388465088,0.2621167254952702,Lower-Middle Income,13.1,42.6,0.1368247874965725,47.6496728,251.0995,4.544615384615385,3.891666666666666,0.5357703862988211,20.6565
"Boise City, ID",2018,0.7111063070047597,0.2888936929952402,0.2759109088665136,0.2800957436161492,0.2228196295602451,Upper-Middle Income,8.3,32.1,0.1480600390300127,382.4440644,251.0995,4.544615384615385,3.891666666666666,0.6721073171095349,20.6565
"Bowling Green, KY",2018,0.6341955386805885,0.3658044613194114,0.158223965659159,0.2149858394678704,0.2179345605857894,Low Income,9.4,25.3,0.1449348978175107,44.3059964,251.0995,4.544615384615385,3.891666666666666,0.627921808258187,20.6565
"Burlington, NC",2018,0.6664914992272025,0.3335085007727975,0.1616202997922915,0.1969450744972086,0.1776502348450665,Low Income,6.8,25.7,0.1705220024513927,32.3647872,251.0995,4.544615384615385,3.891666666666666,0.625950540958269,20.6565
"Casper, WY",2018,0.7081265508684863,0.2918734491315136,0.20125181730909716,0.2080411787629747,0.1634865553014154,High Income,1.1,25.0,0.1504139543702205,26.0309698,251.0995,4.544615384615385,3.891666666666666,0.6285980148883374,20.6565
"Cedar Rapids, IA",2018,0.7583592054290189,0.2416407945709811,0.1540895748532165,0.1879102689970858,0.148672615805832,Upper-Middle Income,11.3,31.5,0.1675902972878679,76.8903668,251.0995,4.544615384615385,3.891666666666666,0.6096381569909608,20.6565
"Charleston, WV",2018,0.6978551274138083,0.3021448725861917,0.09790497306718352,0.1602725027362498,0.1934329650258608,Lower-Middle Income,13.2,23.2,0.2055943393993894,23.406169600000002,251.0995,4.544615384615385,3.891666666666666,0.5913499691385239,20.6565
"Cheyenne, WY",2018,0.7180805484147387,0.2819194515852613,0.2711133963526206,0.2721291123416622,0.1734100628424179,Upper-Middle Income,2.1,26.5,0.1633022146783058,44.3667462,251.0995,4.544615384615385,3.891666666666666,0.6511416906094057,20.6565
"Chico, CA",2018,0.5860034297576605,0.4139965702423394,0.2973764561573882,0.3634697533002624,0.2649622067704931,Lower-Middle Income,13.0,26.2,0.1851627633445186,79.3919626,251.0995,4.544615384615385,3.891666666666666,0.5806557155106278,20.6565
"Coeur d'Alene, ID",2018,0.7191748133323069,0.280825186667693,0.2997317481640505,0.319545231953195,0.2234818615204584,Upper-Middle Income,1.9,25.8,0.189176805671651,121.8898406,251.0995,4.544615384615385,3.891666666666666,0.6901085366792394,20.6565
